marca,2022,2021,var_perc,2022_quote,2021_quote,2022_ytd,2021_ytd,var_perc_ytd,2022_ytd_quote,2021_ytd_quote
FIAT,15582,26425,-41.03,13.04,15.55,47682,69445,-31.34,14.10,15.53
FORD,7642,10787,-29.16,6.40,6.35,24473,29359,-16.64,7.24,6.56
VOLKSWAGEN,8892,13706,-35.12,7.44,8.07,24022,35861,-33.01,7.10,8.02
TOYOTA,7430,8797,-15.54,6.22,5.18,20904,25360,-17.57,6.18,5.67
PEUGEOT,6593,11465,-42.49,5.52,6.75,20165,31350,-35.68,5.96,7.01
DACIA,6962,5527,+25.96,5.83,3.25,19191,15009,+27.86,5.67,3.36
RENAULT,5221,8714,-40.08,4.37,5.13,15933,22196,-28.22,4.71,4.96
CITROEN,7039,8874,-20.68,5.89,5.22,15231,24253,-37.20,4.50,5.42
JEEP,4417,7357,-39.96,3.70,4.33,13634,18478,-26.21,4.03,4.13
AUDI,5552,6428,-13.63,4.65,3.78,12908,17169,-24.82,3.82,3.84
BMW,4100,5752,-28.72,3.43,3.39,12634,16139,-21.72,3.74,3.61
OPEL,4584,7399,-38.05,3.84,4.36,12629,19369,-34.80,3.73,4.33
MERCEDES,4559,5876,-22.41,3.82,3.46,11107,14438,-23.07,3.28,3.23
KIA,4102,4174,-1.72,3.43,2.46,10865,11095,-2.07,3.21,2.48
LANCIA,3608,5093,-29.16,3.02,3.00,10767,13007,-17.22,3.18,2.91
HYUNDAI,2905,4647,-37.49,2.43,2.74,9674,11736,-17.57,2.86,2.62
SUZUKI,2114,3783,-44.12,1.77,2.23,7151,12202,-41.39,2.11,2.73
NISSAN,2537,3403,-25.45,2.12,2.00,6562,8613,-23.81,1.94,1.93
SKODA,1848,2981,-38.01,1.55,1.75,5618,8576,-34.49,1.66,1.92
MINI,1178,2163,-45.54,0.99,1.27,4714,5195,-9.26,1.39,1.16
DR MOTOR,1504,571,+163.40,1.26,0.34,4548,1562,+191.17,1.34,0.35
SEAT,1412,2720,-48.09,1.18,1.60,3757,6314,-40.50,1.11,1.41
VOLVO,1226,1926,-36.34,1.03,1.13,3218,5230,-38.47,0.95,1.17
MAZDA,966,1464,-34.02,0.81,0.86,2714,3606,-24.74,0.80,0.81
ALFA ROMEO,813,1241,-34.49,0.68,0.73,2155,3044,-29.20,0.64,0.68
HONDA,609,547,+11.33,0.51,0.32,1905,1657,+14.97,0.56,0.37
PORSCHE,738,665,+10.98,0.62,0.39,1786,1826,-2.19,0.53,0.41
CUPRA,815,511,+59.49,0.68,0.30,1645,1242,+32.45,0.49,0.28
DS,657,436,+50.69,0.55,0.26,1505,1078,+39.61,0.44,0.24
LAND ROVER,449,1773,-74.68,0.38,1.04,1423,3464,-58.92,0.42,0.77
TESLA,1056,1367,-22.75,0.88,0.80,1367,1704,-19.78,0.40,0.38
MG,542,16,-,0.45,0.01,1241,21,-,0.37,0.00
LEXUS,393,491,-19.96,0.33,0.29,1071,1442,-25.73,0.32,0.32
SMART,373,847,-55.96,0.31,0.50,961,1897,-49.34,0.28,0.42
JAGUAR,286,670,-57.31,0.24,0.39,583,1147,-49.17,0.17,0.26
MITSUBISHI,203,382,-46.86,0.17,0.22,492,1073,-54.15,0.15,0.24
SUBARU,156,281,-44.48,0.13,0.17,488,621,-21.42,0.14,0.14
LINK & CO,31,0,-,0.03,0.00,397,0,-,0.12,0.00
MASERATI,133,228,-41.67,0.11,0.13,365,475,-23.16,0.11,0.11
FERRARI,94,65,+44.62,0.08,0.04,219,165,+32.73,0.06,0.04
SSANGYONG,58,73,-20.55,0.05,0.04,156,218,-28.44,0.05,0.05
MAHINDRA,8,102,-92.16,0.01,0.06,100,211,-52.61,0.03,0.05
LAMBORGHINI,28,21,+33.33,0.02,0.01,71,71,0.00,0.02,0.02
GREAT WALL,10,85,-88.24,0.01,0.05,33,199,-83.42,0.01,0.04
ASTON MARTIN,5,8,-37.50,0.00,0.00,16,16,0.00,0.00,0.00
ALTRE,67,45,+48.9,0.06,0.03,178,112,+58.9,0.05,0.03
TOTALE MERCATO,119497,169886,-29.7,100.00,100.00,338258,447245,-24.4,100.00,100.00
