marca,2022,2021,var_perc,2022_quote,2021_quote,2022_ytd,2021_ytd,var_perc_ytd,2022_ytd_quote,2021_ytd_quote
ALFA ROMEO,932,977,-4.61,0.96,0.67,3088,4021,-23.20,0.71,0.68
CITROEN,3733,7077,-47.25,3.84,4.87,18965,31330,-39.47,4.35,5.29
DS,525,411,+27.74,0.54,0.28,2030,1489,+36.33,0.47,0.25
FIAT,14601,23268,-37.25,15.00,16.02,62296,92712,-32.81,14.30,15.65
JEEP,4134,6386,-35.26,4.25,4.40,17772,24864,-28.52,4.08,4.20
LANCIA,2743,5152,-46.76,2.82,3.55,13509,18159,-25.61,3.10,3.06
MASERATI,105,100,+5.00,0.11,0.07,470,575,-18.26,0.11,0.10
OPEL,3475,6172,-43.70,3.57,4.25,16105,25541,-36.94,3.70,4.31
PEUGEOT,4361,9036,-51.74,4.48,6.22,24531,40386,-39.26,5.63,6.82
Gruppo Stellantis,34609,58579,-40.92,35.56,40.33,158766,239077,-33.59,36.44,40.35
AUDI,4492,6025,-25.44,4.61,4.15,17400,23194,-24.98,3.99,3.91
CUPRA,1077,367,+193.46,1.11,0.25,2723,1609,+69.24,0.63,0.27
LAMBORGHINI,22,41,-46.34,0.02,0.03,93,112,-16.96,0.02,0.02
SEAT,860,2349,-63.39,0.88,1.62,4617,8663,-46.70,1.06,1.46
SKODA,2062,2638,-21.83,2.12,1.82,7680,11214,-31.51,1.76,1.89
VOLKSWAGEN,8487,13713,-38.11,8.72,9.44,32510,49574,-34.42,7.46,8.37
Gruppo Volkswagen,17000,25133,-32.36,17.46,17.30,65023,94366,-31.09,14.93,15.93
DACIA,4356,4589,-5.08,4.48,3.16,23548,19598,+20.16,5.41,3.31
RENAULT,3112,5449,-42.89,3.20,3.75,19046,27645,-31.11,4.37,4.67
Gruppo Renault,7468,10038,-25.60,7.67,6.91,42594,47243,-9.84,9.78,7.97
FORD,5863,8990,-34.78,6.02,6.19,30344,38350,-20.88,6.97,6.47
TOYOTA,7140,8098,-11.83,7.34,5.58,28045,33458,-16.18,6.44,5.65
LEXUS,239,373,-35.92,0.25,0.26,1310,1815,-27.82,0.30,0.31
Gruppo Toyota,7379,8471,-12.89,7.58,5.83,29355,35273,-16.78,6.74,5.95
BMW,4088,4979,-17.90,4.20,3.43,16722,21118,-20.82,3.84,3.56
MINI,1135,1868,-39.24,1.17,1.29,5848,7063,-17.20,1.34,1.19
Gruppo BMW,5223,6847,-23.72,5.37,4.71,22570,28181,-19.91,5.18,4.76
MERCEDES,3308,4912,-32.65,3.40,3.38,14426,19350,-25.45,3.31,3.27
SMART,427,650,-34.31,0.44,0.45,1388,2547,-45.50,0.32,0.43
Gruppo Daimler,3735,5562,-32.85,3.84,3.83,15814,21897,-27.78,3.63,3.70
KIA,3453,3763,-8.24,3.55,2.59,14318,14858,-3.63,3.29,2.51
HYUNDAI,2804,3330,-15.80,2.88,2.29,12477,15066,-17.18,2.86,2.54
NISSAN,1814,2158,-15.94,1.86,1.49,8376,10771,-22.24,1.92,1.82
INFINITI,0,0,-,0.00,0.00,0,0,-,0.00,0.00
Gruppo Nissan,1814,2158,-15.94,1.86,1.49,8376,10771,-22.24,1.92,1.82
SUZUKI,1106,4263,-74.06,1.14,2.94,8258,16465,-49.85,1.90,2.78
DR MOTOR,1208,615,+96.42,1.24,0.42,5757,2177,+164.45,1.32,0.37
VOLVO,920,2009,-54.21,0.95,1.38,4138,7239,-42.84,0.95,1.22
MAZDA,761,1157,-34.23,0.78,0.80,3475,4763,-27.04,0.80,0.80
JAGUAR,255,569,-55.18,0.26,0.39,837,1716,-51.22,0.19,0.29
LAND ROVER,1008,1686,-40.21,1.04,1.16,2431,5150,-52.80,0.56,0.87
Gruppo Jaguar Land Rover,1263,2255,-43.99,1.30,1.55,3268,6866,-52.40,0.75,1.16
HONDA,1001,620,+61.45,1.03,0.43,2906,2277,+27.62,0.67,0.38
PORSCHE,338,457,-26.04,0.35,0.31,2125,2283,-6.92,0.49,0.39
MG,524,20,-,0.54,0.01,1765,41,-,0.41,0.01
TESLA,27,22,+22.73,0.03,0.02,1394,1726,-19.24,0.32,0.29
MITSUBISHI,244,414,-41.06,0.25,0.29,736,1487,-50.50,0.17,0.25
LINK & CO,305,0,-,0.31,0.00,702,0,-,0.16,0.00
SUBARU,145,204,-28.92,0.15,0.14,633,825,-23.27,0.15,0.14
FERRARI,56,70,-20.00,0.06,0.05,275,236,+16.53,0.06,0.04
SSANGYONG,38,53,-28.30,0.04,0.04,194,271,-28.41,0.04,0.05
MAHINDRA,3,105,-97.14,0.00,0.07,103,316,-67.41,0.02,0.05
GREAT WALL,2,76,-97.37,0.00,0.05,35,275,-87.27,0.01,0.05
ASTON MARTIN,5,4,+25.00,0.01,0.00,21,20,+5.00,0.00,0.00
ALTRE,45,28,+60.71,0.05,0.02,225,139,+61.87,0.05,0.02
TOTALE MERCATO,97339,145243,-33.0,100.00,100.00,435647,592488,-26.5,100.00,100.00
