anno,mese,gpl,ibride,metano,elettriche,benzina,diesel,idrogeno,totale
2017,1,11429,4735,3101,188,58456,95323,0,173232
2017,2,11657,5418,2636,120,61809,104091,0,185731
2017,3,13879,5850,3523,229,75864,128530,0,227875
2017,4,9734,4719,1989,124,50780,94436,0,161782
2017,5,12820,6909,2664,149,68409,115027,0,205978
2017,6,12772,6355,2695,195,56148,111752,0,189917
2017,7,11487,5382,1980,145,45660,82624,0,147278
2017,8,6072,2967,1591,98,24987,48809,0,84524
2017,9,9732,6036,3274,182,52021,97842,0,169087
2017,10,10927,6734,3184,235,50295,89143,0,160518
2017,11,11251,6863,3286,154,47582,89744,0,158880
2017,12,8071,4984,2835,197,37101,71783,0,124971
2018,1,11244,7233,3219,258,58453,99365,0,179772
2018,2,10505,6567,4296,246,58539,103584,0,183737
2018,3,12505,7591,4517,437,72907,117428,0,215385
2018,4,10701,7307,4128,261,59101,91334,0,172832
2018,5,12366,7756,5506,594,70508,103427,0,200157
2018,6,11602,7929,4952,440,58099,92763,0,175785
2018,7,12460,7911,3322,641,50810,78303,0,153447
2018,8,7627,4122,1657,190,26907,51742,0,92245
2018,9,7374,7736,1220,489,48769,60375,0,125963
2018,10,10555,8737,1189,587,61630,65055,0,147753
2018,11,10558,8028,1940,462,60265,66771,0,148024
2018,12,7725,5663,1421,380,52085,58165,0,125439
2019,1,12162,8520,1734,282,74722,68116,0,165536
2019,2,10361,9373,1974,250,75674,80215,0,177847
2019,3,12848,10254,2742,621,80151,87811,0,194427
2019,4,12077,9444,3027,1190,78409,70788,0,174935
2019,5,13016,10597,3798,1167,86487,82810,0,197875
2019,6,11931,9473,3526,1445,74012,72088,0,172475
2019,7,14069,8701,3928,940,68829,57068,0,153535
2019,8,9020,4379,2244,534,39123,34053,0,89353
2019,9,11052,10949,3505,1253,63681,52166,0,142606
2019,10,10763,12523,4575,939,72561,56623,0,157984
2019,11,9717,11371,4031,1068,69437,55949,0,151573
2019,12,9508,9776,3443,844,68883,48930,0,141384
2020,1,9615,15643,4114,1943,72642,52344,0,156301
2020,2,9147,18026,3577,2530,73513,56889,0,163682
2020,3,2240,3966,738,926,10161,10566,0,28597
2020,4,176,281,77,500,1522,1769,0,4325
2020,5,6431,12618,1957,1816,41466,36309,0,100597
2020,6,9632,17684,3152,2228,52997,47415,0,133108
2020,7,8830,19541,3605,1608,52850,50652,0,137086
2020,8,6047,15017,2515,1877,32283,31483,0,89222
2020,9,11963,35223,3506,4089,51607,50863,0,157251
2020,10,11553,42746,2527,2889,49809,48726,0,158250
2020,11,11124,37249,2795,4810,43533,40395,0,139906
2020,12,7319,32290,3022,7255,40023,31297,0,121206
2021,1,8185,36560,2744,2494,48487,36302,0,134772
2021,2,7477,46495,3388,3457,47294,36027,0,144138
2021,3,10503,53978,4374,7362,53072,41775,0,171064
2021,4,9451,48683,3256,4851,46614,33415,0,146270
2021,5,9214,48070,3205,5163,44664,33653,0,143969
2021,6,12259,48318,3602,7025,45492,33635,0,150331
2021,7,9337,39008,2197,5096,30444,25218,0,111300
2021,8,6327,23803,1508,3247,16294,14006,0,65185
2021,9,9987,38783,2172,8492,26591,20320,0,106345
2021,10,7942,41192,1413,7134,26455,18449,0,102585
2021,11,9862,39034,1930,6958,28656,20247,3,106690
2021,12,7190,32475,1618,6205,23161,18318,4,88971
2022,1,10059,43477,1421,3658,29659,20734,0,109008
2022,2,9237,44006,1391,3175,29669,25040,0,112518
